Date,Clicks,Impressions,CTR,Position
2025-04-01,32,18851,0.17%,50.3
2025-04-02,30,17395,0.17%,51.1
2025-04-03,49,14914,0.33%,50.7
2025-04-04,33,15715,0.21%,52.3
2025-04-05,24,15802,0.15%,52.5
2025-04-06,25,15220,0.16%,52.7
2025-04-07,51,13659,0.37%,50.5
2025-04-08,34,15875,0.21%,51.8
2025-04-09,40,13941,0.29%,52
2025-04-10,44,13536,0.33%,51.1
2025-04-11,35,12783,0.27%,51.9
2025-04-12,25,14807,0.17%,52.3
2025-04-13,22,13509,0.16%,52.6
2025-04-14,28,14239,0.2%,52.2
2025-04-15,46,16947,0.27%,53
2025-04-16,36,14901,0.24%,52.4
2025-04-17,46,13007,0.35%,51.8
2025-04-18,28,13312,0.21%,51.8
2025-04-19,27,15492,0.17%,52.6
2025-04-20,24,14796,0.16%,51.6
2025-04-21,39,15800,0.25%,50.5
2025-04-22,35,35156,0.1%,51.1
2025-04-23,41,23208,0.18%,50.4
2025-04-24,36,21408,0.17%,48.5
2025-04-25,32,19177,0.17%,47.9
2025-04-26,26,19353,0.13%,48.2
2025-04-27,21,21440,0.1%,49
2025-04-28,36,22466,0.16%,48.4
2025-04-29,33,24132,0.14%,47
2025-04-30,26,23457,0.11%,49.1
2025-05-01,35,20552,0.17%,48.5
2025-05-02,15,18883,0.08%,49
2025-05-03,15,19419,0.08%,48.9
2025-05-04,23,20821,0.11%,49.7
2025-05-05,36,31821,0.11%,51.1
2025-05-06,45,27464,0.16%,48.1
2025-05-07,29,27402,0.11%,49.7
2025-05-08,34,22275,0.15%,48.7
2025-05-09,20,22938,0.09%,49.7
2025-05-10,24,23711,0.1%,48.9
2025-05-11,28,26620,0.11%,49
2025-05-12,62,25555,0.24%,48.8
2025-05-13,40,27699,0.14%,47.2
2025-05-14,48,28429,0.17%,48.6
2025-05-15,27,23142,0.12%,47.3
2025-05-16,26,22036,0.12%,48.6
2025-05-17,18,22728,0.08%,48.8
2025-05-18,17,20621,0.08%,48.3
2025-05-19,28,22838,0.12%,48.1
2025-05-20,38,26609,0.14%,47.3
2025-05-21,38,24375,0.16%,47.2
2025-05-22,34,23546,0.14%,47.3
2025-05-23,37,20409,0.18%,47.7
2025-05-24,26,21035,0.12%,47.8
2025-05-25,32,20075,0.16%,48.9
2025-05-26,23,23278,0.1%,48.4
2025-05-27,25,26661,0.09%,47.6
2025-05-28,40,26618,0.15%,48
2025-05-29,26,24760,0.11%,48.2
2025-05-30,26,24681,0.11%,48
2025-05-31,22,23338,0.09%,48.2
2025-06-01,27,19023,0.14%,47.5
2025-06-02,41,25161,0.16%,47.4
2025-06-03,58,24754,0.23%,45.5
2025-06-04,44,28261,0.16%,42.1
2025-06-05,47,19888,0.24%,48.6
2025-06-06,29,19668,0.15%,49.4
2025-06-07,20,18421,0.11%,51.2
2025-06-08,22,17521,0.13%,49.8
2025-06-09,49,18831,0.26%,49.5
2025-06-10,40,13505,0.3%,49.5
2025-06-11,33,13386,0.25%,49.7
2025-06-12,29,13672,0.21%,50.2
2025-06-13,24,13941,0.17%,51.1
2025-06-14,17,15366,0.11%,51.4
2025-06-15,24,14850,0.16%,51.1
2025-06-16,32,15741,0.2%,50.7
2025-06-17,36,14904,0.24%,49.5
2025-06-18,23,15229,0.15%,49.5
2025-06-19,37,15467,0.24%,49.5
2025-06-20,27,15411,0.18%,50.3
2025-06-21,27,15264,0.18%,52.2
2025-06-22,19,13738,0.14%,51.2
2025-06-23,25,14779,0.17%,50.3
2025-06-24,42,17858,0.24%,48.7
2025-06-25,35,31695,0.11%,48.8
2025-06-26,26,15776,0.16%,49.7
2025-06-27,33,23292,0.14%,49.3
2025-06-28,10,21342,0.05%,50
2025-06-29,18,22376,0.08%,48.3
2025-06-30,25,22447,0.11%,48.4
2025-07-01,31,16056,0.19%,48.6
2025-07-02,33,16207,0.2%,48.5
2025-07-03,32,19319,0.17%,48.6
2025-07-04,27,15136,0.18%,49.6
2025-07-05,20,16533,0.12%,48.4
2025-07-06,23,16437,0.14%,48.6
2025-07-07,27,30471,0.09%,47.7
2025-07-08,32,22307,0.14%,46.4
2025-07-09,32,20603,0.16%,47.2
2025-07-10,35,25273,0.14%,46
2025-07-11,28,19637,0.14%,47.9
2025-07-12,21,19386,0.11%,49.1
2025-07-13,26,16421,0.16%,49.4
2025-07-14,42,17939,0.23%,48.2
2025-07-15,38,20039,0.19%,47.5
2025-07-16,34,14796,0.23%,47.6
2025-07-17,26,11682,0.22%,47.5
2025-07-18,31,13964,0.22%,49.3
2025-07-19,20,21045,0.1%,50.1
2025-07-20,19,21508,0.09%,50.7
2025-07-21,36,15875,0.23%,47.4
2025-07-22,40,71904,0.06%,45.9
2025-07-23,29,50178,0.06%,45.4
2025-07-24,41,45674,0.09%,45.5
2025-07-25,27,37153,0.07%,45.3
2025-07-26,12,39127,0.03%,46
2025-07-27,18,36552,0.05%,46
2025-07-28,38,35453,0.11%,45.7
2025-07-29,31,38867,0.08%,44.5
2025-07-30,27,45134,0.06%,44.8
2025-07-31,20,49937,0.04%,44.9
2025-08-01,29,20317,0.14%,48
2025-08-02,13,22325,0.06%,48.4
2025-08-03,24,21347,0.11%,48
2025-08-04,36,21769,0.17%,47.5
2025-08-05,34,20228,0.17%,46.8
2025-08-06,49,20019,0.24%,46.8
2025-08-07,19,17354,0.11%,46.7
2025-08-08,18,16324,0.11%,47.8
2025-08-09,12,18998,0.06%,48.2
2025-08-10,18,18675,0.1%,47.9
2025-08-11,30,20917,0.14%,46.1
2025-08-12,34,20213,0.17%,45.5
2025-08-13,31,20059,0.15%,47
2025-08-14,32,17132,0.19%,46.1
2025-08-15,24,15681,0.15%,46.2
2025-08-16,12,17702,0.07%,47.7
2025-08-17,24,17194,0.14%,46.4
2025-08-18,32,18509,0.17%,45.7
2025-08-19,34,18525,0.18%,45.4
2025-08-20,35,19095,0.18%,45.2
2025-08-21,47,16561,0.28%,45.9
2025-08-22,26,17571,0.15%,46.7
2025-08-23,22,22467,0.1%,46.8
2025-08-24,22,19658,0.11%,47
2025-08-25,21,23422,0.09%,44.7
2025-08-26,24,33033,0.07%,43
2025-08-27,23,37004,0.06%,43.8
2025-08-28,29,36376,0.08%,43.9
2025-08-29,21,31169,0.07%,44.4
2025-08-30,24,38768,0.06%,44.8
2025-08-31,20,35149,0.06%,45.4
2025-09-01,20,41546,0.05%,44.2
2025-09-02,27,47530,0.06%,44.4
2025-09-03,24,31104,0.08%,44.7
2025-09-04,27,27140,0.1%,45.4
2025-09-05,14,24765,0.06%,45.6
2025-09-06,14,27395,0.05%,46.2
2025-09-07,11,26498,0.04%,45
2025-09-08,19,25161,0.08%,44
2025-09-09,45,24734,0.18%,43.7
2025-09-10,23,23500,0.1%,42.2
2025-09-11,33,21826,0.15%,40.9
2025-09-12,29,12126,0.24%,37.1
2025-09-13,16,5878,0.27%,24.4
2025-09-14,22,7743,0.28%,29.3
2025-09-15,19,8423,0.23%,28.5
2025-09-16,32,8656,0.37%,26.8
2025-09-17,33,7795,0.42%,25.1
2025-09-18,43,10120,0.42%,24.1
2025-09-19,30,8227,0.36%,28.5
2025-09-20,15,9088,0.17%,30.3
2025-09-21,27,9336,0.29%,31
2025-09-22,30,9289,0.32%,26.3
2025-09-23,27,8900,0.3%,24.4
2025-09-24,33,8567,0.39%,22.7
2025-09-25,543,36422,1.49%,11.3
2025-09-26,551,44631,1.23%,12.4
2025-09-27,890,271507,0.33%,7.2
2025-09-28,676,231670,0.29%,6.6
2025-09-29,510,71937,0.71%,8.6
2025-09-30,442,15327,2.88%,19
2025-10-01,445,14645,3.04%,17.3
2025-10-02,390,13513,2.89%,18
2025-10-03,42,12030,0.35%,23.9
2025-10-04,12,14162,0.08%,25.3
2025-10-05,21,10161,0.21%,22.2
2025-10-06,35,11792,0.3%,20.8
2025-10-07,30,10766,0.28%,19.7
2025-10-08,29,10255,0.28%,18.3
2025-10-09,41,11264,0.36%,17.8
2025-10-10,40,22911,0.17%,13.9
2025-10-11,27,13725,0.2%,19
2025-10-12,45,11179,0.4%,18.3
2025-10-13,140,13899,1.01%,18.1
2025-10-14,72,17492,0.41%,16.8
2025-10-15,39,19784,0.2%,17.2
2025-10-16,23,14053,0.16%,16.8
2025-10-17,29,13854,0.21%,22.6
2025-10-18,11,13112,0.08%,19.9
2025-10-19,14,14204,0.1%,16.7
2025-10-20,45,12412,0.36%,18.1
2025-10-21,39,14481,0.27%,16.1
2025-10-22,31,12875,0.24%,18
2025-10-23,33,9004,0.37%,20.3
2025-10-24,30,7976,0.38%,19.9
2025-10-25,22,5837,0.38%,32
2025-10-26,17,6675,0.25%,26.7
2025-10-27,33,9287,0.36%,19.5
2025-10-28,29,9247,0.31%,22.3
2025-10-29,36,10081,0.36%,22.7
2025-10-30,32,10273,0.31%,18.1
2025-10-31,15,13464,0.11%,18
2025-11-01,15,19021,0.08%,15.9
2025-11-02,27,20068,0.13%,14.5
2025-11-03,16,19306,0.08%,16.8
2025-11-04,37,14832,0.25%,17.3
2025-11-05,30,21924,0.14%,15.6
2025-11-06,42,22657,0.19%,14.5
2025-11-07,17,25741,0.07%,14.3
2025-11-08,14,28420,0.05%,13.9
2025-11-09,18,28873,0.06%,13.8
2025-11-10,28,35761,0.08%,12.1
2025-11-11,37,28464,0.13%,13.3
2025-11-12,38,14521,0.26%,21.3
2025-11-13,27,10589,0.25%,24.3
2025-11-14,15,32895,0.05%,12.7
2025-11-15,26,27047,0.1%,13.3
2025-11-16,15,24321,0.06%,13.8
2025-11-17,29,26347,0.11%,14.5
2025-11-18,48,24911,0.19%,14.3
2025-11-19,25,26018,0.1%,14.4
2025-11-20,29,27237,0.11%,16.1
2025-11-21,23,24619,0.09%,15
2025-11-22,18,22044,0.08%,14.9
2025-11-23,18,16497,0.11%,16.9
2025-11-24,27,23433,0.12%,15.6
2025-11-25,39,21016,0.19%,15.5
2025-11-26,32,18499,0.17%,17.1
2025-11-27,11,17051,0.06%,19.6
2025-11-28,16,23986,0.07%,16.6
2025-11-29,11,16922,0.07%,16.6
2025-11-30,21,15744,0.13%,17.7
2025-12-01,27,21044,0.13%,17
2025-12-02,30,24893,0.12%,17
2025-12-03,32,49473,0.06%,32.9
2025-12-04,33,58761,0.06%,35.2
2025-12-05,24,71985,0.03%,34.6
2025-12-06,23,54332,0.04%,24.8
2025-12-07,39,55682,0.07%,22.3
2025-12-08,76,51936,0.15%,22.9
2025-12-09,45,54328,0.08%,18
2025-12-10,44,72612,0.06%,27.7
2025-12-11,26,47879,0.05%,24.4
2025-12-12,29,39310,0.07%,36.8
2025-12-13,21,17188,0.12%,37.4
2025-12-14,39,12036,0.32%,36.3
2025-12-15,36,12863,0.28%,35.9
2025-12-16,42,14204,0.3%,34.1
2025-12-17,35,8487,0.41%,32.9
2025-12-18,31,9699,0.32%,33.9
2025-12-19,24,11751,0.2%,36.3
2025-12-20,11,11716,0.09%,36.9
2025-12-21,17,10197,0.17%,36.1
2025-12-22,22,11547,0.19%,35.8
2025-12-23,18,11862,0.15%,35.6
2025-12-24,7,12187,0.06%,37.2
2025-12-25,9,8901,0.1%,36.3
2025-12-26,17,9036,0.19%,35.3
2025-12-27,9,10210,0.09%,36.4
2025-12-28,17,10592,0.16%,36.2
2025-12-29,26,11291,0.23%,35.3
2025-12-30,27,11507,0.23%,34.2
2025-12-31,20,9338,0.21%,35.8
2026-01-01,17,11470,0.15%,36.9
2026-01-02,22,8567,0.26%,36.7
2026-01-03,9,7902,0.11%,36.5
2026-01-04,24,8175,0.29%,34.6
2026-01-05,34,10259,0.33%,34.3
2026-01-06,21,9651,0.22%,32.8
2026-01-07,38,18584,0.2%,37.7
2026-01-08,29,25829,0.11%,39.3
2026-01-09,18,24250,0.07%,38.5
2026-01-10,19,19086,0.1%,37.8
2026-01-11,24,16582,0.14%,36
2026-01-12,34,10186,0.33%,34.3
2026-01-13,40,13272,0.3%,35.8
2026-01-14,34,13878,0.24%,35.6
2026-01-15,34,9375,0.36%,32.9
2026-01-16,24,17056,0.14%,35.7
2026-01-17,13,13824,0.09%,37.2
2026-01-18,16,10740,0.15%,35.2
2026-01-19,28,13672,0.2%,34.9
2026-01-20,36,13451,0.27%,33.5
2026-01-21,23,14277,0.16%,33.7
2026-01-22,36,13028,0.28%,32.1
2026-01-23,34,11886,0.29%,30.4
2026-01-24,25,15540,0.16%,29.7
2026-01-25,24,14216,0.17%,30.4
2026-01-26,48,15838,0.3%,28.8
2026-01-27,32,18588,0.17%,31.3
2026-01-28,40,17887,0.22%,31.1
2026-01-29,29,16282,0.18%,32.5
2026-01-30,28,16078,0.17%,31
2026-01-31,24,15648,0.15%,32
2026-02-01,17,19457,0.09%,28.5
2026-02-02,40,17265,0.23%,26.5
2026-02-03,26,13469,0.19%,25.1
2026-02-04,42,14534,0.29%,25.3
2026-02-05,27,17055,0.16%,28.6
2026-02-06,27,13509,0.2%,24.1
2026-02-07,19,10811,0.18%,26.6
2026-02-08,28,15286,0.18%,29.2
2026-02-09,22,17378,0.13%,24.3
2026-02-10,34,21344,0.16%,29
2026-02-11,25,18324,0.14%,25.2
2026-02-12,34,16065,0.21%,24.7
2026-02-13,29,12235,0.24%,25.5
2026-02-14,23,11016,0.21%,26.5
2026-02-15,20,12175,0.16%,26.4
2026-02-16,31,11779,0.26%,26.2
2026-02-17,32,14043,0.23%,27.5
2026-02-18,29,13535,0.21%,25.2
2026-02-19,23,13170,0.17%,25.7
2026-02-20,23,12747,0.18%,26.4
2026-02-21,17,12911,0.13%,26.1
2026-02-22,19,12933,0.15%,27.4
2026-02-23,22,10229,0.22%,26.9
2026-02-24,27,8386,0.32%,23.4
2026-02-25,24,8314,0.29%,23.1
2026-02-26,39,10390,0.38%,23.5
2026-02-27,20,9604,0.21%,24.5
2026-02-28,17,8341,0.2%,26.6
2026-03-01,31,11160,0.28%,22.1
2026-03-02,54,13857,0.39%,17.5
2026-03-03,28,14409,0.19%,17.7
2026-03-04,32,12099,0.26%,15.9
2026-03-05,25,9576,0.26%,17.9
2026-03-06,31,7646,0.41%,18.4
2026-03-07,20,7746,0.26%,18
2026-03-08,17,7181,0.24%,18
2026-03-09,35,8565,0.41%,17.9
2026-03-10,38,6984,0.54%,19.7
2026-03-11,30,7660,0.39%,19.5
2026-03-12,43,8273,0.52%,17.8
2026-03-13,28,7745,0.36%,16.3
2026-03-14,26,7363,0.35%,17.8
2026-03-15,29,9034,0.32%,15.3
2026-03-16,33,8133,0.41%,17.5
2026-03-17,40,8030,0.5%,19.3
2026-03-18,42,6996,0.6%,18.4
2026-03-19,43,6992,0.61%,18.9
2026-03-20,34,5960,0.57%,17.5
2026-03-21,14,5656,0.25%,19.7
2026-03-22,29,6318,0.46%,18.4
2026-03-23,40,6219,0.64%,17.8
2026-03-24,39,6769,0.58%,16.2
2026-03-25,30,7071,0.42%,16.9
2026-03-26,34,7810,0.44%,19.4
2026-03-27,41,6258,0.66%,16.3
2026-03-28,17,5985,0.28%,17.5
2026-03-29,15,6054,0.25%,18
2026-03-30,24,6182,0.39%,16.6
2026-03-31,41,6194,0.66%,16.6
2026-04-01,29,6280,0.46%,17.2
2026-04-02,27,5745,0.47%,17.8
2026-04-03,18,4830,0.37%,18.8
2026-04-04,9,5410,0.17%,13.9
2026-04-05,15,5742,0.26%,14.4
2026-04-06,27,5551,0.49%,16.7
2026-04-07,28,5786,0.48%,15.1
2026-04-08,32,7123,0.45%,14.4
2026-04-09,25,7737,0.32%,15.3
2026-04-10,14,6642,0.21%,15.2
2026-04-11,28,7233,0.39%,15.3
2026-04-12,35,8252,0.42%,14.3
2026-04-13,30,9018,0.33%,14.7
2026-04-14,47,8453,0.56%,13.9
2026-04-15,20,8411,0.24%,15.8
2026-04-16,30,7924,0.38%,15.3
2026-04-17,22,5324,0.41%,19.4
2026-04-18,16,5406,0.3%,18.5
2026-04-19,14,6917,0.2%,15.9
2026-04-20,16,6950,0.23%,16.1
2026-04-21,25,4772,0.52%,19.8
2026-04-22,22,6630,0.33%,15
2026-04-23,21,4724,0.44%,18.5
2026-04-24,17,4190,0.41%,17.1
2026-04-25,9,4104,0.22%,18.8
2026-04-26,18,4850,0.37%,19
2026-04-27,25,4932,0.51%,19.1
2026-04-28,30,5118,0.59%,21.1
2026-04-29,15,5101,0.29%,22.2
2026-04-30,29,5369,0.54%,22.2
2026-05-01,26,4613,0.56%,20.4
2026-05-02,18,4645,0.39%,21.9
2026-05-03,23,5089,0.45%,21
2026-05-04,21,5262,0.4%,22.5
2026-05-05,23,5860,0.39%,22.5
2026-05-06,20,6603,0.3%,22
2026-05-07,20,6361,0.31%,25.5
2026-05-08,17,6456,0.26%,19.6
2026-05-09,14,4831,0.29%,23.8
2026-05-10,14,5308,0.26%,24.1
2026-05-11,17,5694,0.3%,23.2
2026-05-12,17,5473,0.31%,23.6
2026-05-13,23,6424,0.36%,20.4
2026-05-14,19,5753,0.33%,19.8
2026-05-15,28,4582,0.61%,18.3
